start	end	text
0	14000	Ok, let's start from the beginning, so when the ACUs were wired to all the sensors and
14000	20000	actuators and motors in the vehicle in order to provide functions.
20000	32000	Each sensor and actuator were connected and wired to an ACU will have more weight and
32000	39000	costs for the vehicle, so there was the necessity to wire together also the ACUs to minimize
39000	45000	the number of wires needed in a vehicle.
45000	53000	So, the ACUs started to send and receive data via network.
53000	60000	The need for a robust and stable communication protocol raises because in modern vehicles
60000	68000	there is the need to connect a large number of ACUs to each other and there is the necessity
68000	74000	to connect also ACUs that are safety relevant for the driver.
74000	79000	So, no information loss should happen during this communication.
79000	88000	For example, the braking ACUs could not detect wheels that are spinning, that are slipping
88000	95000	and signal it to the ACUs that can, to the engine control units that can temporarily reduce
95000	96000	the torque output.
96000	103000	This is relevant information for the safety of the drivers, so we must be sure that this
103000	109000	information shared via network is not corrupted in any way.
109000	116000	So, just one point, I am recording this lesson.
116000	118000	Are there any problems for you?
118000	122000	I didn't tell you at the beginning, sorry.
122000	123000	No problem.
123000	124000	Okay.
124000	129000	So, we are recording.
129000	130000	Okay.
130000	139000	So, networks and network protocols allow the ECU to share information quickly with the reduced
139000	143000	risk of undetected errors.
143000	153000	Of course, this communication network must be robust in terms also of EMC immunity, electromagnetic
153000	154000	disturbed immunity.
154000	163000	For example, the ignition system used for the combustion engines can create a lot of interference,
163000	174000	and so we need to design special vehicle technologies, and the use of a digital communication bus means
174000	181000	that this interference can be detected and corrected automatically.
181000	192000	The network used between ECU and the vehicle EE systems are based on serial digital communication.
192000	201000	So, to meet all those needs, CAN network was developed, and it is the most used one in the automotive field.
201000	214000	We will also see that the LIM network, the second type of network we will face today, is, let me say, a more economic alternative to the CAN.
214000	215000	Okay.
215000	219000	Let's go deep into the CAN network.
219000	228000	CAN, C-A-N, is an autonomous, used for controller area network, also known as CAN bus.
228000	233000	It is a serial standard bus, mainly used in the automotive field.
233000	247000	The CAN communication protocol is a multicast type, used to connect different electronic ECU, electronic control unit, that from now we will call ACU, in the vehicle.
247000	260000	The CAN has been especially designed to operate without any problems, even in an electromagnetically disturbed environment, as the vehicle can be used to the interconnection of a lot of ACU sensors,
260000	266000	actuators, antennas, because it uses a balanced differential potential line.
266000	276000	So, uh, and EMC noise immunity can be also, um, increased by using a twisted layer of cables.
276000	277000	I don't think so.
277000	278000	I don't think so.
278000	279000	I don't think so.
279000	280000	I don't think so.
280000	281000	Sorry.
281000	282000	Can you hear me?
282000	287000	Am I going too fast?
287000	289000	There are audio problems.
289000	290000	No, it's okay.
290000	291000	It's okay?
291000	299000	Yes, but I think sometimes there is an internal connection problem.
299000	300000	Oh.
300000	306000	With my internet connection, let me check.
306000	307000	Okay.
307000	322000	Please interrupt me in any moment if I'm going too fast or if something is missing or something is not clear, okay?
322000	323000	Okay.
323000	341000	So, um, the, the, um, the operating voltage level of the CAN bus, okay, let's check the, the first slide, no, the, the main features of the CAN protocol.
341000	342000	Okay.
342000	349000	The first one we need to consider is the multicast communication, multi-master access to the bus.
349000	353000	That means that on the CAN network there are, there is no master and slave protocol.
353000	361000	All the ACU can communicate, uh, whatever they want on the network and all the ACU can read information shared on the bus.
361000	368000	And all the ACU are able to communicate in the same, uh, at the same time, in the same moment, okay?
368000	375000	And the second main feature we need to, uh, consider of the CAN network is the error detection, uh, strategy.
375000	382000	Uh, we will see in the next slide that the CAN has a robust, uh, error management strategy.
382000	396000	Uh, and it means that the, the protocol is able to identify if an ACU has a communication problem and, uh, is able to exclude from the bus the ACU that has the communication problem
396000	401000	in order to not affect the status of all the CAN bus.
401000	406000	Okay.
406000	416000	The interface between the CAN network, uh, the, and the ACU, the, the, the, the, the, the bus and the ACU connected on the bus,
416000	425000	uh, is typically, uh, a, a special type of amplifier called the transceiver, that, uh, that means transmitter and receiver.
425000	429000	The CAN network is composed by, sorry, two wires, okay?
429000	439000	As we say at the beginning, we have a two wire with differential voltage, uh, on the bus, and all the ACU are connected in parallel on this bus.
439000	444000	So, we have the ACU connected via transceiver to the bus.
444000	453000	The transceiver, the CAN transceiver, uh, converts the electrical representation of a bit in the one used by the controller.
453000	456000	So, to the one defined for the bus.
456000	464000	We will see it in detail, the physical, uh, layer of the CAN in detail in the next slide.
464000	477000	It also, the, the transceiver must also provide a, a, a, a sufficient output current to drive the bus electrical state when the ACU wants to transmit on the network.
477000	487000	So, the ACU that wants to transmit on the CAN network will force the voltage level on the bus, uh, and, uh, with the, via transceiver.
487000	504000	And, in receiver mode, as a receiver, the transceiver provides the recessive signal level, and it, it, it is also used to protect the chip, the, the internal chip of the ACU, uh, against excessive voltage on the bus line.
504000	516000	Okay, and this is also able to, um, identify electrical level on the lines, uh, such as breakage or short circuit and so on.
516000	529000	Let's see now how the data, uh, transfer process works when we say we have a multi-master bus where all the ACU can, can write and read information.
529000	532000	Okay, we have the two-wire bus.
532000	537000	We will call from now the CANH and CANL.
537000	543000	H is the, the line to high potential, L is low, so CANH and CANL.
543000	546000	And we have all the ACU connected in parallel.
546000	548000	In this example, we only have three ACU.
548000	549000	Okay?
549000	552000	Let's see how the transfer data works.
552000	561000	The CANNode1, uh, the ACU can also be called node, or nodes of the network.
561000	564000	The ACU number one provide data.
564000	566000	What does it mean provide data?
566000	570000	Maybe the ACU number one has, uh, let me do a practical example.
570000	571000	Okay?
571000	578000	The ACU number one is connected with an, uh, uh, as an external temperature sensor connected.
578000	579000	Okay?
579000	586000	So, the ACU number one is able to read the data of the external temperature from this sensor.
586000	589000	But all the other ACU are not able to, to read this data.
589000	598000	So, ACU number one will share it on the CAN network in order, uh, so that all the other ACU can read this data.
598000	606000	Because the external temperature data, for example, is, uh, useful also for the other ACU functionality.
606000	616000	Um, for example, the climate control unit, in order to perform automatic climate functionalities, needs to know the external temperature.
616000	621000	But maybe the climate control unit has no external temperature sensor connected.
621000	629000	So, you have to image that an ACU, uh, is connected to sensors, actuators, and also with a network.
629000	634000	So, the ACU number one has some data that we want to share on the bus.
634000	639000	Because those data can be useful also for the other ACU's functionalities.
639000	645000	So, the ACU number one provides data, and then we send this data on the bus.
645000	648000	The ACU number two receives the data.
648000	651000	So, reads those data on the bus.
651000	653000	We'll check the data.
653000	656000	We will see later, uh, in detail this check.
656000	661000	But, uh, mainly the check is, that the ACU number two will perform is,
661000	665000	is this data useful for my functionalities?
665000	668000	If yes, then we'll accept the data.
668000	672000	If not, as ACU number three, we'll ignore the data.
672000	677000	So, this is the meaning of multi-master, of broadcast communication.
677000	683000	All the ACU will share some data on the campus, and the other ACU, if those data are useful,
683000	689000	we'll read it, and, uh, we'll consider those data, or we'll ignore the data.
689000	692000	We'll ignore the message that the first ACU is sending.
692000	693000	Okay?
693000	705000	Oh, here you can find, um, a recap of the main, the most used, uh, bit rate, so speed of the network,
705000	709000	uh, related to the bus length.
709000	718000	Of course, we have a relationship between the transmission speed, so the propagation delay of the signal, uh, and the bus length.
718000	723000	So, in this table, you can see the mainly used bus length with the corresponded bit time.
723000	724000	Okay?
724000	732000	The most common used one are 250 kilobits per second, and 500 kilobits per second.
732000	733000	Okay?
733000	736000	But that's only, uh, an example.
736000	743000	Okay, let's see the, how, uh, physically is composed, is, is, uh, is made the cam network.
743000	750000	Let's, for now, let's just ignore the low speed network, the second picture, you can see in this slide.
750000	755000	Also, because the low speed cam network are no longer used in the automotive field.
755000	759000	So, we will have a focus on the high speed network.
759000	764000	As you can see, we have a two-wire bus, all the ACU connected in parallel.
764000	769000	Here, in this schematic, you can see TX and RX.
769000	775000	Those two amplifiers compose the transceiver that we, as we said before.
775000	784000	So, the interface between the physical network and the ACU is this transceiver in transmitter and receiver mode
784000	792000	that can convert the electrical signals on the bus into a logical signal used by the ACU.
792000	797000	Because we need to know that we have a physical transmission on the network.
797000	803000	If we connect an oscilloscope on the, okay, network, we will only see voltage drops.
803000	804000	Okay?
804000	812000	We will see the differential voltage of these two wires that change, uh, based on the message on the ACU that are transmitting.
812000	819000	But the ACU, the controller, doesn't use electrical signals to communicate.
819000	824000	The ACU will use logical representation of these electrical signals.
824000	826000	So, this is the main feature of the transceiver.
826000	830000	The transceiver will translate the electrical signals into logical one.
830000	833000	Later, we will see the details also on this.
833000	837000	So, we have the two wires, the ACU connected in parallel.
837000	846000	And then we have also two termination resistors of 120 ohms at both the ends of the network.
