start	end	text
0	7000	Okay, great. I will start to share my screen.
7000	12000	It's a second.
12000	23000	So, anybody knows what is Inca and what is used for?
23000	27000	Do you know anything about it?
27000	30000	Yes, a little bit.
30000	35000	Okay, Hamza, you know, just leave your colleagues to know.
35000	40000	Okay, I'll just watch.
40000	43000	Andrea.
43000	48000	I'm learning it with Inca, basically.
48000	52000	What is it used for?
52000	55000	Yeah, basically, yeah.
55000	67000	I'm learning that just to see the signals to monitor in them, to set the calibration also.
67000	72000	And to flash the software, the software maybe.
72000	76000	Okay, I don't know what else to say.
76000	83000	Okay, I'm going to explain the most important function for Inca and what is used for.
83000	90000	Inca is used mainly to interface with the internal signal of the echo,
90000	99000	which can be the CPU, BPCM, whatever echo which has access to its software, the hardware,
99000	107000	which is through to ethos or cable build.
107000	111000	The ethos should be like this.
111000	125000	It's this hardware which permits you the communication between the physical echo and the software to be able to read the internal signal of the echo.
125000	129000	Okay, so.
129000	133000	The echo in the vehicle is in this picture.
133000	140000	It's a VDCM of Maserati, which is a.
140000	145000	Excused X-CityK cable, high speed communication.
145000	150000	As you can see, it's a development echo and it has its.
150000	153000	X-CityK module that coming out of it.
153000	156000	There are two differences between the echoes.
156000	157000	One is production.
157000	162000	The one you have in your vehicle at home when you have your vehicle.
162000	168000	If you open it, you don't have this port of X-CityK module because it's a closed echo.
168000	174000	And the coast is around like 50 to 100 euros for the production one.
174000	180000	For the development one, it can reach 15,000 euros for only development echo.
180000	190000	It depends on the complexity of the hardware and the microcontroller.
190000	197000	So the communication with the ethos is coming on through a cable which called X-CityK.
197000	204000	If we want to communicate only with one echo, then no need for the ethos.
204000	208000	I will have a cable which is called X-CityK host.
208000	213000	You should go directly from the echo to your PC directly.
213000	219000	Other than that, if you want to connect other cans or connect more than echo,
219000	225000	you should adapt the modulators, as you can see in this picture.
225000	231000	It's 891, where you have the first port, for example, the host, which goes to your PC.
232000	236000	Those two ports can be connected to other two echoes.
236000	241000	And the others, as you can see, they are scan FD and lean to.
241000	247000	It depends on the needs of your implementation and what you are testing,
247000	251000	what you need to have in your data or ink.
251000	260000	That's why it depends on the goal and the target that you want to achieve by the log that you have.
260000	265000	If I want to have everything in the same log with scan signals, lean signals,
265000	270000	and the Bose echoes, then I need to adapt an ethos complex like this,
270000	272000	and it costs a lot of money.
272000	276000	Other than that, I just need to see the internal signals of the AVCU.
276000	278000	There is no need for that.
278000	289000	And for the can logs, you can just log by the encase normally through the OBD on Kanalyzer.
289000	295000	So, let's go in Inka and check what we need.
295000	298000	As you can see, this is the main page of Inka.
298000	306000	I have a version 7.2, which is limited for if you are going to work in cell-length side.
306000	316000	For AVCU2, it's not supported, so I recommend you on your PCs to upgrade it to the 7.3,
316000	325000	at least, to be able to open the software AVCU2 offline.
325000	328000	And we're going to check this right now.
328000	334000	So, the main thing about Inka is you have a database.
334000	337000	In this case, I'm working on different projects.
337000	344000	I have Lukato, HTT, smart car, cell, and you have different modules.
344000	352000	So, first thing, just create a top folder.
352000	355000	Just to have everything inside it.
355000	359000	And then inside this, you can add your software.
359000	366000	You can add your DBCs and so on.
366000	369000	So, let's say you want to add your software.
369000	376000	What you should do, just right-click on it, add and go to A2L.
376000	394000	Then go to check where I downloaded the software or go to the folder directly.
395000	400000	The first thing you're going to add is A2L, which is the base of the software.
400000	402000	Then just copy.
402000	405000	So, you have the poster post.
405000	408000	And then it will ask you, what is the hex file?
408000	412000	Then I will go there, paste the same.
412000	418000	And then I don't have hex file, I have S19, which is equal to the hex file.
418000	421000	It's the calibration file.
421000	424000	In this case, there is two.
424000	426000	That's it.
426000	434000	If I'm working on vehicle on a development echo, and I need, and I don't have the MMO code association on my vehicle,
434000	436000	I'm talking first to learn the sport.
436000	448000	But in this case, we have the mobilizer function on on a dataset, which is the association between the body and AVCU has already done.
