start	end	text
0	22480	The sensor is the primary element of a measurement chain that converts the input variable into
22480	25980	a signal that is suitable for measurement.
25980	32680	A transducer is a device that accepts information in the form of a physical or chemical input variable
32680	39680	and converts it into an output variable that can be of the same or of a different nature.
39680	44960	In other words, we can say that the transducer outputs an electrical signal that is linked
44960	51940	to the input, that is, there is always a relationship between the input and the output.
51940	58920	Here in the slide you can see a diagram that includes the sensor and after it the transducer.
58920	63180	The element we are going to measure is called the measurement.
63180	69260	In the diagram you can see the first measurement that is the input of the sensor and the second
69260	73940	measurement that is the input of the transducer.
73940	83180	So we said that the sensor is the first element in the measurement chain.
83180	89660	The sensor converts the physical quantity into another that is more easily manageable.
89660	94920	The transducer instead provides a measurable electrical signal as output.
94920	101120	In fact, the main difference between the sensor and the transducer is due to the aim of their
101120	107920	using, because the sensor is used for controlling, while the transducer is aimed at the measurement.
107920	111920	That's why we are used to use these two terms as synonyms.
111920	120080	It's important to remember that a transducer is a sensor, but a sensor is not necessarily
120080	123080	a transducer.
123080	132920	There are different types of sensors depending on certain parameters by which they are classified.
132920	140960	In fact, we can have active sensors, passive sensors, digital, analog sensors, and so on.
140960	146480	So we say that sensors can be classified, first of all, according to the type of measurement
146480	150920	.
150920	157080	According to the type of output, voltage, current, resistive, capacitive, inductive sensor, we
157080	164080	have voltage and current sensors, analog sensors that provide the output signal that follows
164080	176080	the variation of the input value, and digital sensors for which the output is a binary code.
176080	182080	Now we want to put attention to the first classification, active and passive.
182080	189080	A sensor is defined active if the physical effect on which it is based ensures the transformation
189080	194080	of the measurement's own energy into an electrical energy.
194080	201080	A sensor is defined passive if the effect of the measurement results in an impedance change
201080	203080	of the sensing element.
203080	210080	In other simpler words, we can say that active sensors generate a current or voltage signal
210080	215080	signal at the output, while for passive sensors we will have a variation at the output of
215080	221080	an electrical parameter, resistance, capacity, and so on.
221080	233080	It is important to underline that for passive sensors we need another conversion.
233080	240080	This conversion is possible using a conditioning circuit, that is defined as a circuit or electrical
240080	245080	system that is able to modify signal characteristics.
245080	252080	It is necessary to clarify that for passive sensors or transducers the conditioning circuit is essential,
252080	261080	is indispensable, while for active sensors or transducers the conditioning circuit is only to make an adaptation
261080	263080	of the parameters.
263080	270080	The conditioning circuit is the task of adapting the parameters of the electrical energy generated by the transducers
270080	278080	transducers to the input characteristics of the measurement system, that is called signal conditioning.
278080	285080	So let's try to understand what happens in case of passive sensors or transducers.
285080	289080	So why this conditioning circuit is so essential?
289080	295080	In general we can say that a single electrical parameter or a current signal has to be further adapted
295080	300080	and then provided as input to our electrical circuit.
300080	306080	Specifically, what are the possible functions of a conditioning circuit?
306080	309080	First of all, application.
309080	311080	Secondary, the filtering.
311080	317080	Perhaps because of the presence of noise or distortion on the user for signal input to the AD converter.
317080	323080	And in this case is the use of a filter is essential.
323080	328080	It might be a resistance voltage or current voltage conversion.
328080	332080	And finally, linearization.
332080	337080	This is an operation that is performed on the analog outputs of non-linear transducers.
343080	346080	Let's continue with more definitions.
346080	350080	Let's then talk about the main features of a sensor.
350080	351080	They are
351080	354080	measure that is the quantity to be measured.
354080	359080	Measuring principle, that is the physical principle on which the conversion is based.
359080	366080	Significant properties, sensor construction properties, internal circuits, sensitivity, and so on.
366080	371080	And range that defines the operating limits of the sensor.
371080	381080	Let's take a detailed look at the characteristics of the inputs.
381080	384080	Species, that is the physical input quantity.
384080	392080	Input range, range of values of the measurement within which the sensor operates according to specifications.
392080	401080	Measureant safety range, that is the range of values of the measurement outside which the sensor remains permanently damaged.
401080	407080	Its extreme values are called overload or overrange.
407080	417080	Similarly also for outputs, we can say that the main characteristics are
417080	420080	Spaces, nature of the output quantity.
420080	428080	Normal operating range, or output range, that is the range of values of the output, when the input varies in the input range.
428080	437080	Deliberable power, the limit value of the power that the sensor can supply to the downstream user system.
437080	442080	In other words, it is the maximum value of the output power.
442080	447080	Moreover, if the output is current, the load impedance is specified.
447080	452080	Output impedance, each sensor has its own impedance.
452080	461080	And uncertainty of output, that is the width of the range, including all the values that could be assumed,
461080	470080	with a certain probability or confidence level, to represent the value of the output corresponding to a certain operating condition.
470080	484080	Well, now let's give an overview of what are the static and dynamic characteristics of sensors and transducers.
484080	488080	Let's start with the static characteristics of a sensor.
488080	497080	First of all, conversion function, that is a function that allows the value of the output to be derived from the input.
497080	509080	Calibration function, that is the relationship that allows the value of the input and the corresponding uncertainty band to be derived from each value of the output quantity.
509080	516080	We are therefore talking about the relationship between input and output, but with a delta of uncertainty.
516080	524080	This is because for each input, we will not have a single output value, but a range of values of the measurement.
524080	531080	Calibration constant, slope of the calibration curve, if it is linear.
531080	536080	And calibration uncertainty, that is the width of the range of values.
