start	end	text
0	10940	Okay, guys, I'm starting to share also my screen.
10940	17000	Now I think you've seen already Canalizer, right?
17000	20000	Yes, correct.
20000	24500	Canoo is an extension of Canalizer.
24500	36500	It's more regarding simulating environment and the capability of Canoo is also to manage Vector Simulator.
36500	42500	So here are the slides present on the course.
42500	48500	Here is this card, how to create a new configuration from scratch.
48500	56500	And yes, this will be the base to start doing things with Canoo.
56500	62500	Let's go through this and meanwhile we are going to create the configuration as it is.
62500	68500	If you have any question, please raise your hand and ask it.
68500	84500	Okay, so while with Canalizer you were in series with the network, with Canoo you can simulate different issues.
84500	95500	So the main thing we have to do is to create a new configuration and to start understanding what's the difference between measurement setup and simulation setup.
95500	99500	Let's go and let's just start doing this.
99500	104500	So we are going to create a new empty configuration.
104500	110500	We start from a default one which is completely empty and we create it.
110500	118500	Then we have to configure our buses.
118500	127500	So we go into hardware configuration, define number of channels, the boot rate and the hardware channel associated with it.
127500	132500	Then we are going to set number of Can and Lin that we want in our configuration.
132500	139500	At the moment I have a VN1630A, a simple can case which has four channels.
139500	143500	I don't know exactly which transceivers are on that.
143500	155500	So I will set just for easy way of doing it, two Can channels and no Can, no Lin channels.
155500	161500	So we are going to create, two channels are already created.
161500	164500	We are going to go to channel usage.
164500	165500	Okay.
165500	170500	Here we can set as many Can network we want.
170500	173500	From hardware, channel usage.
173500	176500	We go and select how many Can we want.
176500	182500	And then here we can set the boot rate of each channel.
182500	188500	And if we want to have an online simulation or an offline simulation.
188500	191500	We'll see later what is the difference between them.
191500	201500	Now, once we have created these two channels, let's try to create three channels just to show you what's changing.
201500	203500	Here it's not changing anything.
203500	209500	But if we go into simulation setup, you can see that here we have Can network.
209500	218500	We can add different Can network.
218500	226500	And if we add the fourth Can network, it is saying that you cannot assign a network to it.
226500	231500	So we have to increase number of channels in the Canva system.
231500	240500	So, here we have created our three Can network.
240500	248500	Here you can see that this is the channel mapping, which is the same thing you see in Canalizer basically.
248500	254500	And here also the configuration of the boot rate and stuff like this is the same as you were looking at Canalizer.
254500	261500	This is the newest part, the simulation setup, which you were already seeing here.
261500	266500	So let's go there and let's map our channel.
266500	273500	Here we have VN1630 channel 1, VN1630 channel 2.
273500	277500	And here we can have a WitterCAM bus for now.
277500	278500	Okay.
278500	286500	Now, the next step to do is to associate a database to these Can networks.
286500	287500	How do we do that?
287500	289500	Just give me a second.
289500	290500	Okay.
290500	302500	Then we're going to add network databases here.
302500	309500	Just simply doing right click on databases and press add.
309500	315500	So now I have a couple of, this is the one you are using for your exercises.
315500	317500	So I'll upload this one.
317500	321500	And so now we have our database uploaded here.
321500	322500	What do we do with that?
322500	325500	Let's go through the simulation here.
325500	327500	Here it says how to add the Can network.
327500	329500	We have already seen that.
329500	335500	Here it's just to understand what you need to import from the database.
335500	339500	And here is if you want to simulate different nodes.
339500	343500	So let's go there and let's start simulating just one node.
343500	346500	Let's enlarge this one.
346500	348500	Insert network node.
348500	353500	And this one is saying that you have put an ECU on that.
353500	355500	Here is the node panel.
355500	362500	The node panel, once you have configured it, it is going to allow you to edit the different frames,
362500	365500	which are present on the network, the different signals.
365500	367500	How to configure this?
367500	370500	Right click on it and press configuration.
370500	374500	It is going to say, how do you want to call it?
374500	378500	In this case, we have only one issue, which is the EMS.
378500	381500	Let's put it here.
381500	383500	And which is the state?
383500	385500	If it's simulated or it's off?
385500	386500	Which is the difference?
386500	389500	Simulated is going to run a simulation on it.
389500	394500	Off is going to mute basically this node on the network.
394500	397500	So let's start with an off state.
397500	398500	Okay.
398500	401500	And this one is a node specification.
401500	405500	If you have a DLL, you want to simulate it, you can do that.
405500	406500	Okay.
406500	410500	And here it's saying on which bus it's available this node.
410500	411500	Okay.
411500	416500	Let's not care about that.
416500	423500	Now you can see that here, some frames are present on this.
423500	425500	How do we enable them?
425500	428500	We need to enable the simulation of this one.
428500	437500	You can do like this and go back to configuration and press simulated,
437500	440500	or you can simply press a space bar on it.
440500	443500	And it's going to enable the node.
443500	449500	Here you have the node panel and you can change the value of the signals
449500	451500	and send them out.
451500	454500	Once you send them out, they're going to keep the same value
454500	458500	until you don't switch off the simulation from here.
458500	463500	You start to stop the simulation and then it's going to change the values.
463500	465500	Is it clear until now?
465500	470500	Yes, it is.
470500	471500	Yes.
471500	472500	Okay.
472500	473500	Perfect.
473500	475500	Another thing you can do is to add other issues.
475500	481500	Let's move to another network and let's upload another database,
481500	484500	which hopefully is containing more issues.
484500	488500	Give me one second.
488500	489500	Mask and downloads.
489500	490500	This one.
490500	491500	This one.
491500	492500	This one.
492500	493500	Okay.
493500	494500	Okay.
494500	497500	Here they are different.
497500	498500	Okay.
498500	499500	Okay.
499500	502500	Here they are different.
502500	503500	Okay.
503500	505500	Here they are different.
505500	506500	This one.
506500	507500	Okay.
507500	508500	Come on.
508500	509500	And there is another one.
509500	510500	Okay.
510500	511500	Now you can see that we put two nodes on the network.
511500	528500	What it means is that if we connect this to a real network,
528500	533500	we will have those two nodes plus the other part of the network,
533500	534500	which is here.
534500	535500	Okay.
535500	543500	We are simulating those two nodes and keeping real the other part of the network.
543500	547500	How do we change those kind of signals?
547500	548500	Always in the same way.
548500	551500	Node panel and we will have the messages for it.
551500	554500	Node panel, we will have the messages for it.
554500	555500	Okay.
555500	556500	What is the power of Kanoe?
556500	567500	If we open here, we can create a .can file, which you should already know that it's a
567500	569500	couple file, basically.
569500	581500	And we call it EMS underscore the underscore EDS, EBC.
584500	585500	Okay.
585500	586500	Okay.
586500	587500	Yeah.
587500	588500	We will post it.
588500	593500	It's going to open the couple browser and we can create a live simulation of this node.
593500	602500	So basically it would be like we are going to simulate a real issue on a, on a, we simulate
602500	604500	a real issue on a real environment.
604500	605500	Okay.
605500	606500	Okay.
606500	611500	But we can simulate different issues in a real environment.
611500	619500	While in, in, in canalizer, we were just being in series with the, with the node.
619500	622500	We were going to simulate.
622500	623500	Okay.
623500	633500	Now, here it's a seal with the simulation setup.
633500	634500	Okay.
634500	635500	Okay.
635500	643500	So here you can change the blocks to simulation or real time mode by doing this way.
643500	649500	Right click on the network and you can switch your blocks to simulation, real time mode,
649500	651500	this network simulation or real time mode.
651500	659500	So you can even simulate the entire network or you can measure it real time.
659500	663500	If you press it, it's going to be simulated.
663500	667500	I don't think we can start it because we don't have any channel assigned.
667500	675500	Let's go back to our channel.
675500	679500	Let's delete this one.
679500	683500	Let's see if it's going to start.
683500	697500	Yeah, there are BLDCs, so we cannot start.
697500	710500	Anyway, in case you're connected to a real environment, you are going to just measure it.
710500	717500	So if we would have connected to a CAN network, here on the trace, we would have seen some signals.
717500	719500	Okay?
719500	723500	Then we are going to move even to the measurement setup.
723500	726500	You're quite familiar with this, isn't it?
726500	731500	This is something you've already done in Canalizer.
731500	733500	So here is the block for logging.
733500	735500	Here you can create another desktop.
735500	738500	That can be...
738500	742500	Analysis is already there, so let's open this one.
742500	747500	Here you can put trace windows, graphic windows, data windows, say sticker and statics.
747500	750500	Okay?
750500	751500	Then...
751500	756500	Let's move over.
756500	767500	Here it's saying the same, you were saying before, that you can open a node panel and set a different value to different signals.
767500	771500	And broadcast it by pressing this icon here.
771500	781500	And here you can have a graphic windows for the entire can statistics, for the different signals you want to measure.
781500	793500	And here, the difference is that you cannot type the program node or interactive generator blocks, because you will do everything from here.
793500	804500	So, network node, think about it as a program node, while a can interactive generator block, you have to add frames from databases.
804500	807500	And so you can add as many frames as you wish.
807500	813500	And you will have the same can ichi, which is present on Canalizer, for example.
813500	816500	Then, what other things you can add?
816500	822500	You can add an XML test module, a .NET test module, or a replay block can.
822500	832500	With the replay block can, you can add a source file here, which can be any kind of login file.
832500	841500	So it can be an ASCII, a BLF, an MF4, just to say the most known one.
841500	857500	And you can put it here, you can map the channels of this, so that you don't have to replay this only on one network, but you will have different sources and different targets.
857500	862500	So you can put even whatever is coming from CAN2, put it on CAN1.
862500	863500	Okay?
863500	871500	And you can simulate what is your acquisition, your log, and you can replay it on the real network.
871500	878500	So it's even good to have this, because think about an order-in-the-loop environment.
878500	880500	A CAN2 order-in-the-loop environment.
880500	886500	You have a measurement from the car, and you want to reproduce it on the hill.
886500	900500	You will just have to insert a replay block, map correctly the CAN networks, and just press play, and you will have a simulation of the real environment.
900500	901500	Clear until now.
901500	905500	I will ask if it's clear every frame, it's great, more or less.
905500	909500	Ah, okay, it's easy, it's clear.
909500	910500	Guys?
910500	911500	Yes, it's clear.
911500	913500	Okay, perfect.
913500	933500	Then here is basically the same you have seen with the canalizer, that you can add graphic windows, where you can add signals from the databases, or variables in case you have an XCP simulation,
933500	938500	or different system variables to be measured.
938500	941500	We'll talk about system variables maybe later.
941500	947500	You would have seen or read them in the lesson on Cample.
947500	950500	But, yeah, we'll see how we can use them here.
950500	952500	Hopefully.
952500	962500	Then, here, it's all the different views you can have, if you want to change the different displays.
962500	966500	For the samples and stuff like this.
966500	975500	Here is how to split the axis, the Y axis, to have each signal on a different axis.
975500	985500	You can do it by pressing CTRL and comma, and in order to have a cursor difference.
985500	992500	If you want to have this single cursor, you will have to press CTRL plus the dot.
992500	997500	Then, here, it's saying about the replay block.
997500	1009500	You can add filters on that, in order to not filter the ECU that, for example, is your device under test at the moment on the simulator.
1009500	1013500	And, let's see how to do that.
1013500	1018500	You will add the replay block, and you will insert a filter here.
1018500	1032500	The filter is going to filter whatever is coming from this database, affected node messages, the received messages.
1032500	1035500	But, received and transmitted, and you apply it.
1035500	1040500	So, it's going to filter everything, which is coming from there.
1040500	1044500	In every direction, transmitted and received.
1044500	1052500	And, you can filter out even messages only.
1052500	1058500	So, you can put those five messages.
1058500	1067500	And, you can filter only if they are received, for example.
1067500	1068500	Okay.
1068500	1072500	Then, last slide, and then we are going to do something.
1072500	1075500	You can insert network nodes in the simulation setup.
1075500	1082500	And, this allows you, as we have seen, to insert couple scripts to simulate the different ECUs.
1082500	1088500	Network nodes are used also to control BT systems.
1088500	1093500	And, there are couple test modules.
1093500	1096500	What is a couple test module?
1096500	1099500	Let's try to do that.
1099500	1105500	This couple test module is a test which is run in real time while reading the CAN network.
1105500	1108500	And, executing operation real time.
1121500	1123500	Let's see how it works.
1123500	1125500	I should do some examples already.
1125500	1128500	Let me just check if we can find them.
1129500	1138500	Thank you.
1138500	1140500	Here, let's see.
1140500	1163500	okay let's try to open this one
1163500	1174500	it's going to report a lot of errors but it is what we want to see
1174500	1202500	okay so do not think about the definition of the variables and includes one
1202500	1217500	you're going to create a void function which is now called mean test you can assign the title of to a test module and a description
1217500	1225500	then you're going to call test cases you see this one is the name of this test case
1225500	1234500	what's the difference between this and for example with the studio that for this one you don't need an extra license with the studio
1234500	1241500	but you can you will have to write the code manually basically
1241500	1249500	so here is how you call system variables with the
1249500	1253500	the at the beginning and you will have different values
1253500	1259500	i think that this couple is written for dp system
1259500	1268500	so this is the core tool connections as you would have another simulator you would call them in a different way
1268500	1277500	but the good thing is that you can change the name of this variable as you wish by creating different system variables
1277500	1280500	i'll show you how to do that you go into environment
1280500	1287500	see you go to system variables and you can create other system variables
1287500	1291500	i don't need some of the office that's going to get started at all
1291500	1297500	but essentially lead them
1297500	1305500	you don't give it the initial power let's define it as a 32 bit
1305500	1330500	okay here you have created a namespace which is the block they are belonging to
1330500	1333500	so we would have called them for example
1333500	1339500	yield let's copy from here the connections
1339500	1343500	okay
1343500	1361500	so now if you press here
1361500	1368500	yield connections it's going to recognize it and it's going to recognize also shanty one
1368500	1371500	okay
1371500	1376500	so in this way it's going to change this value
1376500	1380500	to this one and you can do the same even with the database because here
1380500	1384500	we already have our now a symbols
1384500	1387500	we are going to have our signals
1387500	1391500	the signals which are present inside the database
1391500	1393500	okay
1393500	1395500	furthermore
1395500	1398500	and then we will see
1398500	1401500	here it's filtering for network symbols
1401500	1403500	we can filter also for variables
1403500	1407500	and here we'll have all the system variables we have defined
1407500	1408500	okay
1408500	1409500	now
1409500	1414500	for example let's suppose you want to simulate the press of the start button
1414500	1415500	okay
1415500	1418500	we are going to define in a system variable
1418500	1428500	always in this connection or for example we put a new one called vehicle as a container let's say
1428500	1430500	and this one is the start button
1430500	1431500	okay
