start	end	text
0	2660	perfetto, so we are good to go
2660	6700	ok
6700	14940	ok, so
14940	17100	what is
17100	19640	Fabrizio, sorry
19640	21440	yeah, just so
21440	23240	dico il volo in italiano
23240	25340	che stai registrando con OBS Studio
25340	27980	e non so se sei già utilizzato
27980	29980	ho visto che non hai però messo l'audio
29980	30880	in ingresso
30880	33640	quindi non penso che tu stai registrando la voce
33640	35600	in realtà perché hai messo tanto cattura schermo
35600	37680	devi fare un plus
37680	39160	ma in realtà vedo che
39160	41380	lo sto registrando
41380	44040	perché vedo la barra che scorre
44040	45160	eh, quello sì, ok
45160	47480	la barra scorre, però se non la metti in fonti
47480	48700	non te lo registra
48700	51040	lo registra tutto quanto quello che vede in fonti
51040	52320	lo schermo lo sta catturando
52320	54240	l'audio là te lo mette in automatico
54240	55840	che sente qualcosa
55840	58340	però ovviamente e cattura audio
58340	60740	penso per ti però audio è entrata
60740	63680	cattura di un'entrata
63680	69040	e del tuo microfono
69040	71120	spesso perché io lo scelgo
71120	71740	non lo scelgo
71740	72840	sì sì, va bene, non lo scelgo
72840	73740	grazie, grazie
73740	74640	grazie, grazie
74640	74740	grazie, grazie
74740	76460	perché poi magari registravi
76460	79080	e poi non si vede in attesa
79080	80740	perché mi è già capitata a me anche
80740	81900	ah, benissimo
81900	83240	ok
83240	85160	così dovrebbe andare
85160	87640	ok, perfetto
87640	91940	devo riavviare la registrazione oppure cattura comunque anche partendo da qui
91940	94960	no, no, no, cattura da adesso
94960	95800	da quando l'ho imposto
95800	97320	ok, perfetto
97320	100640	ok, grazie mille
100640	102640	ok
102640	103400	so
103400	105640	vehicle function
105640	106220	is
106220	107920	vehicle function
107920	108520	is basically
108520	109300	a functional
109300	109980	a functional
109980	110520	specification
110520	111620	for
111620	112700	as you can
112700	114200	as you can understand
114200	114420	from
114420	115400	as you can understand
115400	116040	from the name
116040	116560	regarding
116560	116980	a
116980	117560	vehicle
117560	118200	functionality
118200	121000	a
121000	121280	functional
121280	122020	specification
122020	122760	is
122760	124120	functional
124120	124820	specification
124820	125500	just
125500	126900	is
126900	127220	is
127220	127340	is
127340	127620	is
127620	128140	is a document
128140	128780	that
128780	129940	includes
129940	130780	all the
130780	132340	all the
132340	135480	all the tasks
135480	135980	that a given
135980	136600	functionality
136600	137460	has to
137460	139260	has to
139260	139280	has to
139280	140400	has to carry out
140400	142460	including
142460	143880	contents
143880	144780	both functional
144780	145720	and some
145720	146340	and something
146340	147020	also regarding
147020	147680	the diagnostic
147680	148500	of a given
148500	149060	functionality
149060	150580	but
150580	151460	as you may
151460	152020	already know
152020	152520	some of you
152520	153000	some of you
153000	153420	at least
153420	154260	the
154260	155100	the diagnostic
155100	155680	is not
