start	end	text
0	10560	you should be able to see my screen yes okay so let's have a start this is the
10560	18480	basic this is the basic design of our internal combustion engines so here in
18480	24120	this slide you can see the you can see the names of the main parts of the of
24120	32100	the engine of a four-stroke engine okay let's talk let's spend just a word about
32100	41100	the basic operation as we as the name says the four-stroke engine has four main
41100	48420	phases intake compression expansion and exhaust I use the animation in order to
48420	56220	to have a clear idea here let's wait for the cycle to start again so intake phase
56220	64860	compression expansion and exhaust phase respectively so what happens can you see
64860	74240	the can you see the ad arrow the pointer yes okay great yes okay okay so what
74240	79760	happens is that during the intake phase the the mixture of air and the fuel
79760	84480	because of course we need both in order to in order for the combustion to occur we
84480	90380	need both air that contains oxygen that that is the oxidizer of the combustion
90380	97580	reaction and the fuel that is the this the fuel that that is oxidized that burns
97580	105020	basically and allows us to allows us to to get some mechanical work at the
105020	112740	crankshaft power engine so through the intake manifold the air fuel mixture is
112740	117700	sucked in the combustion chamber that is this part here then the motion of the
117700	124700	piston compresses the air fuel mixture then there is this there is this guy here
124700	130880	this guy here is only presenting spark ignition engine in in fact this is
130880	136880	called the spark plug that is what triggers the that is what triggers the
136880	143500	combustion the operation of a diesel engine is slightly different than the we
143500	148760	will see it in the following so the air fuel mixture is sucked in through the
148760	153320	intake manifold compressed then there is the spark plug that triggers the
153320	160440	that triggers the combustion the combustion of curse the the gas contained into the
160440	167560	combustion chambers expand so that basically they push the piston downwards and
167560	174880	the the the connecting rod gives a torque at the crankshaft level that is the
174880	180920	mechanical work that that is the the the final goal of an internal combustion
180920	185740	engine that is getting metamechanical work at the crankshaft level and then the
185740	191840	motion of the piston pushes the exhaust gases out of the combustion chamber these
191840	197100	two guys here are the valves the poppet valves that regulate the the flow of the
197100	205360	intake and the exhaust gases inwards and outwards the the combustion chambers the
205360	214900	combustion chamber the the two camshafts that are this particular shape you can see it here if you
214900	221500	basically you see it in just one on just one plane the actual shape of a of a camshaft is
221500	232480	like this basically these these profiles this this particular shape is made in such a way that
232480	240800	while the the camshaft is rotating at some point it pushes the it can regulate the it can push the
240800	247980	the the poppet valve and open the the manifold the intake and exhaust manifold respectively
247980	260720	okay so let's see some relevant parameters for for internal combustion engines first of all some some
260720	269040	important names top dead center that is the that is the the top level the the the highest level reached
269040	279740	by the by the motion of the piston bottom that center that is the the the the lowest point reached
279740	286660	by the motion of the of the piston the difference between the the distance between the top dead center
286660	292980	and bottom dead center is called the pistol stroke other important parameters that you may have heard
