start	end	text
0	4360	Okay, then, I think we're ready. I shall share the screen.
10300	11940	Okay, so.
16200	17780	Okay, here we are.
19000	23840	So I guess you have already had this morning.
23960	27720	I partially listened to the lesson of this morning.
27720	35820	So it was based on all kind of hybrid application that you...
35820	42520	Oh, by the way, if you have questions or other stuff, please just interrupt me because I don't see the meeting.
43860	48400	So is there someone that wants to say something? Because I hear something in my earphone.
50960	52680	No? Okay, nice.
53740	54920	You can hear me, right?
57720	58060	Yes.
58720	59120	Yes.
59920	61060	Okay, okay, great.
62320	70200	So I would start just with this first slide, and then we will just jump all the slides related to the hybrid applications.
70200	85240	So even though this scheme is for, let's say, like children, this is pretty helpful to let us understand the main feature of an electric vehicle.
85240	102840	So basically, as we move from the conventional vehicles to the old electric vehicles, of course, step by step, all the fuel that is needed or the emissions that the car produces just reduce and then disappear.
102840	118760	Of course, of course, that disappear from the car in itself, but then considering that the big part of the electric energy is produced using fossil fuel, anyway, fossil product,
118760	136820	then we are just moving this kind of consumption from the car directly to the car to somewhere else, okay, to the plants or places where this electric energy is produced, actually.
136820	139520	And, of course, we will have the related emissions.
140720	158660	There are many studies where the total calculation of the emissions and all the pollution that is created using electric vehicles is, anyway, generally lower than an internal combustion engine car.
158660	169240	So here, and I guess I heard Lorenzo saying that keep using this kind of cars will slowly kill us or something like this.
170120	179320	So, yeah, I believe moving to a greener solution is definitely needed for the health of the planet.
180060	187840	It looks very green topic, this one, but, yeah, that's the truth, basically.
188660	196980	So, of course, you see here there are all these stylo, you know, these small batteries.
197620	208100	It's not just a representation because actually the battery pack are built with the series of all these batteries, okay.
209160	216820	In my experience, usually, yeah, it depends, of course, on the size of the battery pack and the power that has to produce,
216820	220820	the nominal voltage, the nominal voltage, the battery pack works, too.
220900	224820	So, there are many factors on which the number of battery depends on.
224980	234980	But, in my experience, usually, the battery pack is made by 200, 300, 150 of this kind of batteries.
234980	243880	So, almost like stylo batteries, they're generally bigger than this.
244880	256060	So, you don't think in a normal stylo battery, they're just bigger, usually are between one kilo and two kilos.
256060	262340	So, they're heavier, of course, but, yeah, they're as simple as that.
262660	266760	Okay, so, no big revolution how the battery pack is made.
266760	276640	Yeah, I'll jump a bit between the slides, so I won't cover the slides that Florenza has already covered.
277460	289040	So, you already know, you have heard probably in all the advertisements that maybe you have also seen these kind of cars in the street.
289040	297000	So, Beth vehicle is a battery electric vehicle, so it's a vehicle that the only energy source is the battery pack.
297440	297540	Okay.
299640	308200	The first application, let's say, of a full electric vehicle are with 400 volt battery, like the case of 500 Elettrica,
