start	end	text
0	12720	okay okay here we are so let me share the screen
12720	28480	do you see the screen guys
28480	39360	yes yeah you should see verification software at some point yes okay yeah what
42480	58080	no sorry okay nice well so this is a very huge topic verification software actually
58080	66160	a lot of people have worked on it personally I've done this activity for two years and a half working
66160	76000	on electric vehicles and this is a very first step to make you very close to what are going
76000	84160	to be the activities that you might do for for kinaton this is a very long topic comparable to
84160	92960	diagnosis let's say so hopefully we're gonna have a few exercises and review with other colleagues as
92960	101200	well and we might have also some openings for this kind of activities so specific effort would be
101200	113200	needed here so as every real teacher which I'm not but as every real teacher starts let's start with
113200	119920	some definitions so for this lesson I picked a couple of definitions that I liked let's start from the
119920	128720	first one that I called academic definition so this is let's say the correct definition to
129840	135360	yeah define what is software verification so we can even try to read it software verification
135360	142560	is a discipline of software engineering whose goal is to assure that software fully satisfies all the
142560	152240	expected requirements let's clarify something immediately well today now you're alone in the office but
152240	159520	tomorrow when other people will join you can ask them how I stressed out the importance of what I'm going
159520	168320	to do requirements when you read the requirements here you know I don't know you can do a murales in your
168320	177200	office saying requirements you can I don't know draw requirements on your copy book you can have a tattoo
177200	182880	requirements on your right or left arm whatever it helps you just remember the importance of requirements
183920	189040	so let's read it again software verification is a discipline of software engineering whose goal is to
189040	195680	assure that software fully satisfies all the expected requirements so the requirements are always
195680	203040	the input for our activities okay we work with the software most likely we will perform some tests
203600	209600	our goal is to assure that the software behaves according to the requirements so if I don't have the
209600	215200	requirements I don't know what to test I don't know how to test and most of all I don't know if the test
215760	223360	is okay or not okay because I don't know if the expected result is according to the requirements okay so
223360	230000	what you should learn from this lesson specifically is the how important requirements are and that
230000	236960	these requirements are always the input for our activities okay and this applies to everything I mean
236960	245120	to the diagnosis to can network stuff to general software features we're gonna see
245120	255280	all of them start with requirements and then tests test cases will come test execution will come test results
255280	260640	will come okay but the extremely important thing is the importance of requirements
263440	271760	and this is let's say first definition then I'll add I've added a second definition which you know it's a name
271760	280640	that I gave so you I do not suggest you to write useful definition of software verification over google because I
280640	289120	might be scared of the results that will come out but yeah this is the one that I like the main goal of
289120	299040	verification is to ensure that software is compliant with new requirements once again requirements are mentioned okay
299040	307520	so again I don't know if the meanwhile meanwhile I'm talking you are already deciding if you should get a tattoo or ask Mario
308400	315600	on Gino to paint the walls writing requirements you know I don't know you will let me know at the end of the lesson
316240	327360	but the common point here is the importance of requirements as you might already notice there are some differences between these definitions
328240	337760	and we will go through them in the next slides but since I'm a bit probably not just a bit older than you
338880	349600	I see this kind of war between you these two definitions as this battle between these two characters but I'm not sure
349600	365440	for some of you know stack and three do you know this video game yeah I know nice wow I know it so all the video game is so famous or you were as old as me so one of the two stuff
365440	369980	No, I am 25, but I used to play it when I was young.
370120	371500	I also played Mortal Kombat.
374180	377040	We have some gamers here in the office.
377460	378260	Wow, nice.
378560	384200	Last time I did the lesson, people were very happy when I showed this video game.
384200	388080	And I was happy too, because I didn't feel that old.
388080	396400	Anyway, so let's see how these two definitions, let's say, battles between each other,
396500	400160	even though they are really defining the same stuff.
400960	403680	So let's start from the academic definition.
404620	409080	Yeah, here is a kind of, it's written again.
410020	411320	Let's go through it.
411440	416560	So there are positive aspects and aspects that I would like to clarify.
416560	421480	So the positive aspect of this definition is that, of course, it's a proper definition.
421680	425420	Okay, it's in theory the correct one.
425520	429300	So if someone asks you, what is software verification?
429700	433740	Then this answer will be probably the correct one.
433740	440920	Okay, so it's a discipline of software engineering whose goal is to assure that software fully satisfies all the expected requirements.
440920	448840	Whenever you say software, checking that the software is compliant with requirements,
448840	458360	when you say that, you are almost 90% of times correct when they ask you something about it.
458360	462760	Okay, so, yeah, again, requirements.
462980	470320	That's the first thing that you should think of when talking about software verification or testing in general.
470320	481360	Okay, the only thing that it has to be commented or clarified here is the word fully.
481580	486120	As you see, I circle it with an orange kind of circle.
486120	495180	So, why so, we will see more in details why it's needed to comment it.
495380	497580	But in general, it's like this.
497740	501600	So when we work on a software or we have to test the software,
502060	506820	we have to make sure that the software satisfies all the requirements.
507000	508940	Okay, so in theory, this is correct.
508940	513900	But we will see that we can start work in the middle of the project.
514380	518080	Some requirements are copied from another project and were already tested.
518640	520460	Some other requirements are not applicable.
520800	526940	So in the working activities, sometimes we, well, not sometimes,
527160	534600	most of the times we don't have to test the requirements of all the components of all the car
534600	537180	because probably some of them have been already satisfied.
537440	542660	Some of them are not applicable or some of them have been just copied from another project.
543140	545900	And in this new project, that part of the software is the same.
546060	550320	So probably the does have to be tested again.
551140	553380	Okay, so fully is correct.
553820	557100	Satisfying all the requirements is correct in general.
557580	560820	But when we arrive to work on the practical stuff,
561000	563560	it's a bit tricky.
563560	567380	Okay, because we don't have to do everything back again every time.
571720	573080	Guys, just one sec.
573120	575740	I received an important message I should take.
590920	591400	Okay.
593560	598800	So that's why, since I didn't like completely this definition,
599000	601960	I added this definition as well, which is the useful one.
602500	605480	Here I like because there are a couple of things that
605480	609900	give me the chance to explain even better the verification.
610180	612380	First of all, is the main goal of a verification.
613380	616120	This means that there are other goals of a verification,
616120	618920	and we will see them in the next slides.
619640	623560	But the main difference compared to the other definition is that here,
623560	628440	to ensure that the software is compliant with new requirements.
628440	637000	So, as always, as I'm saying already probably it's already the 10th time that I'm saying this,
637000	641160	as always, we have to make sure that the software is compliant with the requirements.
641160	649000	But in the previous definition, they said that it has to be compliant with fully satisfies the requirements.
649000	652440	So it means all the requirements must be satisfied.
652440	658520	In this definition, let's say it's the same, but when it comes to actually perform the tests,
658520	664280	what we do is to make sure that the software is compliant with the new requirements.
664280	670280	Why this is important, because the old requirements are not important anymore.
670280	674200	No, they're important, but since they're already, I don't know,
675560	678360	old requirements, maybe they have been already tested,
678360	682360	or maybe we already know that on the software are satisfied.
682360	687000	So what we do basically here is to be, to test new requirements,
687000	691400	because that will refer to a new part of the software, okay.
691400	698440	Is this clear, guys, is the first distinction between the two?
698440	699800	Yes, yes, it's clear.
701080	704360	Okay, of course, guys, this is a weaker definition, because
705960	707960	the proper definition is the previous one.
708760	714600	The main goal, that the goal of the verification is to ensure that the software fully satisfies the requirement.
714600	717640	Okay, so this is the definition of verification.
718280	726520	But when we start working, you will notice that we won't test all the requirements every time,
726520	732280	but you will work on a delta, on new requirements, on something that is new,
732280	737080	or there was a problem before, so you never work every time on all the requirements.
737080	740600	But the final goal is to be compliant with all the requirements.
740600	753640	Okay, okay, so guys, sorry, once again, for the message that I was getting.
753640	767800	Okay, okay, let's move on.
769960	776840	So here it comes again, your dearest friend or enemy, according to how you
776840	782440	felt about it the first time you saw it, that is the WooCycle.
783240	786200	So where are we with the verification?
788360	793560	I won't go through the WooCycle again, because you already have two lessons about it,
793560	799720	so I'm sure that those two lessons are more than enough to understand the basics of the WooCycle.
799720	805000	Here is just an overview, just to remind you, and to show you once again, that the first thing,
805000	812040	also in the WooCycle, as is probably been already said in the videos, is the requirements.
812040	816760	Here it says software requirements, because this WooCycle is specific for the software,
817400	820840	but consider that for everything that is has to be,
823480	828360	that, you know, it's related to a project, there is a requirement to do it.
828360	833800	Okay, so here it's software requirements, but there might be also other kind of requirements,
833800	841400	also about, I don't know, the materials to be used, the packaging, how to ship this stuff,
841400	843400	you know, there might be requirements for everything.
843960	852200	Basically, it's the client asking how to do something, okay, and this will become a requirement.
852200	857160	In this case, it's a software requirement, but there might be also other kind of requirements as well, okay.
858360	863400	So, once again, first step is having the software requirements.
865800	872520	We will, we have some slides after, but basically requirements really are just documents, okay.
872520	879080	Think of it as, I don't know, a Word document, a PDF document, whatever, it's text, okay, most of the time,
879880	887480	saying the software should behave like this, and there is an explanation of how a specific behavior should be,
889000	891640	what is the behavior that has to be reached, okay.
893480	898040	This document is then shared with the software developers.
