start	end	text
0	24200	Welcome everybody to this training. In the first part of this training there will be an introduction on the heel system and why it's important to use an heel, why it's necessary to use an heel and in the second part there will be a training on control desk, how to use control desk.
24200	45700	The first question is why is heel important, so why it's needed to have a heel simulation. The answer to this question is because the heel simulation allows you to link together computer simulation and vehicle testing.
45700	59700	So the heel gives you the possibility to have a real-time application while using real components like for example sensor and actuators.
59700	72700	The application that runs on the heel is composed basically of physics-based or mathematical models.
72700	91700	So starting from the mathematical models we create a Simulink model. Simulink model is then translated into code. The code is run on the application.
91700	104700	We can imagine in the real world to have another in the loop like in the first picture. In the first picture there is the controller and the process.
104700	128700	The controller, the role of the controller is to control the inputs to the process, then read the output from the process, then calculate an error and on the base of this error adjust the inputs to give to the process.
128700	141700	In the simulation we can recreate the real world to have the hardware as controller and then the simulation instead of the real process.
141700	153700	So the simulation recreates the behavior of the process while the hardware is responsible for the controller.
153700	164700	Now let's see together what are the advantages of using a heel.
164700	181700	Of course the heel reduce the cost of testing. Let's imagine that if we want to test on a mule the costs are higher than testing on a heel system.
181700	187700	Another important aspect of the heel is the reproducibility. What does it mean?
187700	204700	It means that it is possible to reproduce, for example, a bug. If we found a bug, having the heel gives the possibility to reproduce the same error many times.
204700	214700	Because we are able to recreate the conditions to let the bug appear.
214700	228700	Another main aspect of the heel usage is the safety. Some tests are not safe to be done on a real vehicle.
228700	238700	Let's imagine a short battery on the accelerator pedal. It has a high level of danger.
238700	256700	So in this case we perform the same maneuver on a hill. So in this case we lower the possibility, we reduce the possibility to have dangerous condition for the driver to zero.
256700	281700	On the other hand, there can be some critical aspects. One critical aspect is to develop an accurate model of the real plant. In other words, we have to model the real plant as close as possible to the reality.
281700	310700	Meaning that it is possible to recreate the same conditions as in the real vehicle. The more the model is accurate, so the more the model is close to the real plant, the better will be the test we are able to perform and the better are the results that we're going to have.
310700	329700	Let's analyze now a hill architecture. In yellow you will find what are the simulated parts in a hill architecture. While in green there will be the real hardware present in a hill architecture.
329700	347700	The real components more often are sensors and actuators. It is possible to simulate sensors and actuators and it is also possible to have real sensors and actuators.
347700	358700	Then usually there is one or multiple issues under test. So the real issue is connected to the hill, to the simulator.
358700	386700	Other issues are most often simulated because there is a percentage of hill architecture that don't have all the issues real. For your information, there are some architectures that have all the real issues.
386700	405700	Like for example, like for example, lab car. Then there is the physical system. So the model that recreates the plant that runs on the simulator.
