start	end	text
0	12000	Ciao, I'm Clippo and today we are going to see how the canaliser can be used in order to perform several actions.
12000	23000	For example, this tool can allow us to go through an analysis and also a stimulation of a bus communication system.
23000	40000	As you know, the bus communication systems are widely used in the automotive sector because they are basically mandatory means that are used to communicate between electronic control units.
40000	53000	There are several types of bus communication systems. The main ones, for example, are CAM protocol communication, the Lean one, FlexRay and several others.
53000	64000	I suggest you, if you did not do that before, to go through the CAM protocol lesson because it will be very useful for you.
64000	71000	And it contains a lot of mandatory information in order to better understand this canaliser lesson.
71000	84000	So, first of all, the screen that you are just looking at is the main page of the already prepared canaliser configuration.
84000	97000	As we were telling before, canaliser can be used in order to check, for example, if there is a communication between several TCUs in a bus communication system.
97000	116000	And also, in case of a positive response or a communication ongoing, it will allow you to perform also an analysis and a study of the kind of communication and any issue of the communication itself.
116000	128000	On the other hand, canaliser will allow you to collect data, so perform and acquire data from the communication itself.
128000	135000	In order to get started, let's open a new configuration.
135000	139000	We will have the opportunity to start from the basics.
139000	142000	So, let's go here, new.
142000	144000	Let's open up the default one.
144000	148000	Click on create configuration.
148000	155000	And the window that you will see open would be something like that.
155000	158000	We are in the phrase layer.
158000	161000	You will understand later what it is.
161000	164000	So, let's move to the configuration layer.
164000	174000	And here you've got one of the most important window of canaliser tool, which is the measurement setup window.
174000	185000	As you can see, there are several blocks here with different names and that can be used in order to perform several things.
185000	191000	First of all, there is this block here where you see offline and online.
191000	200000	This is the data source where you can find basically if you want to work online or offline.
200000	212000	Online means basically that you are currently using a cam case and canaliser connected to a specific, for example, cam communication bus.
212000	220000	And you are looking at the cam communication in real life.
220000	227000	So, the communication is ongoing while we are looking at it and we are analyzing it.
227000	231000	On the other side, what we can do is work in offline mode.
231000	241000	So, if you double click here, as you can see, these two blocks here just turn gray and we enable this folder here.
241000	248000	Now we are in offline mode, which means that we can, for example, but we will see this later.
248000	254000	We can start from a already acquired log.
254000	265000	So, already collected the information from a cam communication, which happened in the past and from where we acquired the data.
265000	267000	And we can review that offline.
267000	276000	So basically just using our PC, we do not need to be physically, for example, connected to cam communication system, the cam bus.
276000	286000	So these are the two main modes of operation that we can go through and we can use to canaliser.
286000	291000	There are here several other blocks that can be used.
291000	295000	Statistics ones, trace, data, graphics, logging.
295000	300000	We will dive deeper into those in the next minutes.
300000	302000	So, don't worry for now.
302000	308000	But apart from the operational mode that we can use canaliser for.
308000	311000	There are also analysis windows.
311000	317000	For example, in online mode, we can insert an interactive generator blocks.
317000	323000	To set the cam communication itself.
323000	328000	A program node to use, for example, cable programs.
328000	338000	So basically codes that are written by ourselves and that can be used in order to perform several stimulations of the cam communication.
338000	344000	We can insert filters of different kinds.
344000	345000	Channel filters.
345000	349000	So filtering by specific cam communication channels.
349000	354000	Or we can add event and variables filters.
354000	363000	To have a closer look at specific things that we want to look at.
363000	375000	And in online mode, as you can see, we can, for example, here enable the logging block.
375000	379000	And this is the way we can use in order to collect data.
379000	385000	And that can be done and reviewed in offline mode.
385000	395000	So, let's move to the first things, the most important ones, in order to configure our canaliser setup.
395000	400000	First of all, we need to understand here, on top, the hardware layer.
400000	405000	We need to set up the hardware configuration that we are currently using.
405000	414000	For this lesson, we will use a lot that was acquired in the program that I'm working with.
414000	423000	And basically here, on channel usage, the log was performed acquiring only one cam bus communication.
423000	428000	So here on cam, we need to select one.
428000	434000	I did not acquire any link communication in the log that we will use.
434000	436000	So we select here zero.
436000	438000	And select OK.
438000	451000	As you can see, in this right window here, the system is telling us that all channel specific options are OK.
451000	453000	So we can move on.
453000	456000	In particular, we have here top left channel mapping.
456000	470000	So here what we can do, we can basically link on the application channel column here, the virtual can channel.
470000	474000	And that canaliser will use for its operations.
474000	478000	With the hardware column link.
478000	490000	Which is basically the real channel of the can case that is physically connected to the computer, to the PC that we are using in order to run canaliser.
490000	501000	For example, right now, this window, among all the choices, you see that under transceiver column, we've got only virtual can channels.
501000	507000	And that's because right now I do not have any can case connected to my PC.
507000	523000	So canaliser allows us to perform any kind of operations that we want, but it's telling us that we do not have any real and physical can case connected to the PC.
523000	530000	And so we can just use virtual channels, but that is enough for our demonstration of canaliser usage.
530000	542000	So let's click OK and let's use the virtual can channel 1 to the virtual can bus 1.
542000	551000	Now we've got to configure the kind of can bus communication that we want to review in offline mode.
551000	557000	I acquired a log from the program, as I was telling before, that I will work on.
557000	575000	And specifically, this is a program with a network topology equal to Atlantis side can have the communication, which is basically flexible data rate and protocol.
575000	579000	Which means that, for example, here, as you can see, can 1.
