start	end	text
560	10380	Hello everyone, my name is Pasquale Perrotta and we are going to explain today part of what
10380	18080	diagnosis means in the automotive world. So before we move on to the explanation, I would
18080	25560	just like to give you some references. So as I was saying, I am Pasquale Perrotta, here
25560	37700	there is my email address, which is pasquale.perrotta, head sign kineton.it. And I'm starting the lesson
37700	43660	like this because at the end of the lesson or during the lesson or days after the lesson,
43660	53000	you might have some doubts or curiosities about this topic. So feel free whenever you want to send
53000	60600	me an email to this email address or simply writing me a message in chat. I'll be glad
60600	72480	to answer all your doubts and make your learning process even smoother. So today's topic is
72480	80660	diagnosis. We'll spend probably one hour and a half or something describing this topic. This
80660	90160	is a very huge, huge topic. So it will be divided in few lessons, few exercises. So take your
90160	96900	time to understand every single slide that we are going to describe here. But before moving
96900	105940	to the slides, I always like to start this lesson in this way, showing you a few videos. Let's
105940	114760	start with this one. In Japan, we have old Chinese proverb. It say good is good, but number one is
114760	122660	better. Now, this wretched car, so well engineered and it's top imported car in Germany. Why not we?
125540	132600	It's big and you British think it's excellent good value for money. But what worst of all,
132600	140420	it's number one best selling small car in Europe. And it's not from Japan. The Fiat Uno. Absolutely the
140420	152200	number one best selling small car. So I am, I haven't lost my mind. But these are, here is another video.
152200	162360	Here, these are all commercials of the 80s and 90s. Yeah, this one is about 80s. So let's watch this again. Let's
162360	171960	comment it. In Japan, we have old Chinese proverb. It say good is good, but number one is better. Now, this wretched car.
171960	180520	So, first of all, as you see, the cars coming from the 80s, all the advertisement, you know, the actual
180520	194040	advertisement of 2023 is related to all these space cars with all kind of features inside. They look
194040	200840	extremely futuristic and stuff like this. But in the 80s, what was important about the car was basically
201480	210360	the mechanical advantages that a car had. So there's this guy kicking the car, those other guys just
210360	216360	jumping on the car. Too well engineered and it's top imported car in Germany. Why not we?
219240	226600	It's big and you're British. Yeah, space inside. I think it's excellent, good value. You can fit five
226600	234680	people inside. But what, worst of all, it's number one best selling small car in Europe. Yeah, they,
235480	242440	let's say, they were fast, even though the idea of fast was very different at the time. So, you know,
243000	250200	everything that was mechanically related. And also, what was important was the price,
250200	256200	because these cards were supposed to be cheap. So there are plenty of advertisement here. There is
256200	277720	another one related on how... Yeah, there is also a very weird music on the background.
286200	300120	So, once again, you see that what was important about the car was having space for the family,
300120	305720	but not just for the family.
317160	324120	So, you see, what was important about the car, that was for everyone, for family, for this woman
324120	330760	going around with the dog and so on and so on. Last thing before we actually move on, as we see here
330760	338360	that the car, again, what was the main feature of a car was about the mechanical properties of the car,
338920	344920	the space, the robustness, the speed and stuff like this. Because as you can see, the car
345720	352760	was like a car from 80s, where something like this, where the electronical part of the car was very,
353400	362920	let's say, limited. So, you see, there is just a speedometer, let's say, just showing the speed of the car.
363960	372040	Few lamps, but you see, there is nothing digital. Everything was analogical. You see also other leverage
372040	382600	here for the side errors or DVI air, you know, what was important, yeah, again, the actuation of
382600	390840	the windscreen cleaner and stuff like this. Okay, here, once again, the space, the rear windscreen
390840	398440	cleaner, so, you know, everything that was mechanical, okay? So, that was, that's what was important in a car
398440	406440	in the past. So, you can find plenty of these videos over internet. So, if you look at the advertisement
406440	412600	of the 80s or simply, you go in a museum or wherever in the world that describes, that shows,
414200	423240	cars from the 80s, 70s, even 90s, they are all, they are all related to the mechanical part.
423240	432520	So, everyone stressed out the importance of the mechanical part. I actually live in Torino,
432520	442520	and in Torino, there is a long, long history of, let's say, manufacturer in the 20s, 30s, 40s. So,
442520	451640	the beginning of the 20th century, there were so many car makers in Torino. But what was the main
451640	458040	thing about all these car makers is was every car was made by hand. So, basically, every car was
458040	464840	different from the other. So, you couldn't have the same car produced in the same way every time.
464840	470280	So, whenever you had the problem with your car, basically, you had to bring the car in the same
470280	477960	place, the same, you know, mechanical shop where you could leave the car there and a specific,
477960	485480	specialized person from that car maker would have checked the car and fixed the problem. Some
