start	end	text
0	3300	rispetto a quanto concordato
3300	4660	e a quanto definito
4660	7080	nelle agende abbiamo fatto un cambio
7080	7760	uno switch
7760	10600	io e Gabriele abbiamo ritenuto fosse opportuno
10600	12660	cominciare prima con
12660	14580	la definizione
14580	16080	e un po' la discussione sul
16080	18140	requirement management plan
18140	20320	e poi che diciamo
20320	22060	terro io come discussione
22060	24260	e poi Gabriele si inserirà
24260	26060	con il CPRE
26060	28840	con suggerimenti
28840	29760	e best practice
29760	32700	per la definizione dei requirement
32700	35580	però diciamo
35580	37480	prima di iniziare volevo fare
37480	39180	velocemente un giro di tavolo
39180	40980	per conoscervi
40980	42880	e per sapere
42880	45640	quanto voi siete a conoscenza
45640	47560	del concetto di requisiti
47560	49060	e di gestione dei requisiti
49060	50380	se avete mai avuto modo
50380	53220	di metterle le mani già in pasto
53220	54800	oppure è solo un concetto
54800	57440	che avete in mente
57440	59440	così
59440	60300	va bene
60300	61840	io a gamba tesa
61840	62600	giusto per un
62600	65320	cappello introduttivo
65320	66420	sulle competenze
66420	67000	e poi ovviamente
67000	68040	ognuno tira la sua
68040	69140	però diciamo
69140	70340	quasi tutti
70340	72460	tranne qualche eccezione
72460	73340	eccezione
73340	74900	stanno seguendo un programma
74900	75380	di formazione
75980	77100	che è basato
77100	78120	sulla validazione
78120	79280	quindi tendenzialmente
79280	80140	della parte destra
80140	80820	del ciclo AB
80820	81660	quindi abbiamo visto
81660	82120	la parte
82120	83800	ottimo
83800	84060	però
84060	85200	però è ottimo
85200	86160	abbiamo citato
86160	86580	appunto
86580	87700	un po' i requisiti
87700	88940	come si leggono
88940	89880	come ci utilizzano
89880	90680	è più incentrato
90680	91380	sul testing
91380	92480	ok però loro hanno
92480	93500	queste conoscenze
93500	93840	di fatto
93840	94700	volevo solo dirti
94700	96040	questo come riferimento
96040	96620	perfetto
96620	98440	va benissimo
98440	99240	è già un buon punto
99240	99720	di partenza
99720	100240	ecco anche
100240	100980	per noi
100980	101840	come impostare
101840	103140	ecco la discussione
103140	104040	se andare
104040	104580	un po'
104680	105360	se approfondire
105360	105940	oppure essere
105940	107700	un po' più generali
107700	109940	va bene
109940	110180	diciamo
110180	110800	se tutti
110800	112100	siete d'accordo
112100	112500	appoggiate
112500	113500	quello che Pasquale
113500	114160	ha detto
114160	115340	diciamo eviterei
115340	116440	questo giro di tavolo
116440	118320	io non conosco
118320	118900	nessuno
118900	120080	forse ho visto Federica
120080	121120	un attimo
121120	121660	è apparsa
121660	122340	sullo schermo
122340	123780	e credo che
123780	124800	ci conosciamo
124800	125840	ecco ci siamo visti
125840	126740	in sede
126740	129200	però gli altri
129200	129460	ecco
129460	129980	vabbè
129980	130400	comunque
130400	132240	Gabriele lo conosco
132240	133140	si vede anche in foto
133140	133820	e Pasquale pure
133820	134200	va bene
134200	135320	allora
135320	137660	allora ragazzi
137660	139840	possiamo partire
139840	146120	diciamo che
146120	147840	possiamo partire
147840	149180	con questo
149180	150460	Requirement Management Plan
150460	151180	ditemi quando
151180	152680	quando vedete
152680	153520	il mio schermo
153520	163120	ok vabbè
163120	164140	una piccola introduzione
164140	164500	di me
164500	165040	giusto per
165040	166940	per conoscermi
166940	167340	io sono
167340	168140	sono in Kineton
168140	169280	da circa due anni
169280	170580	e
170580	172040	mi sono occupato
172040	173060	fin dall'inizio
173060	173640	in Kineton
173640	174860	della parte
174860	176880	dei Software Requirement
176880	179040	per poi passare
179040	179420	adesso
179420	179920	la parte
179920	181100	dei System Requirement
181100	181560	e
181560	183280	diciamo che io
183280	184160	diciamo non è
184160	185540	purtroppo
185540	186060	e per fortuna
186060	186900	la mia prima esperienza
186900	187360	di lavoro
187360	187880	ecco ho avuto
187880	189800	ho iniziato a lavorare
189800	190580	nel 2013
190580	191880	in Magneti Marelli
191880	193620	e poi
193620	195180	per sei anni
195180	195560	come
195560	197680	System Function Expert
197680	198360	quindi sempre
198360	198880	sulla parte
198880	199960	di controllo motore
199960	201000	centraline
201000	201920	di controllo motore
201920	203520	e poi sono passato
203520	204140	sono passato
204140	204780	in Bosch
204780	206040	e lì
206040	206260	ho
206260	206840	diciamo
206840	207520	ho svolto
207520	207860	il ruolo
207860	208240	di
208240	209240	ITU
209240	209560	quindi
209560	211140	centraline di controllo motore
211140	211980	e
211980	213000	ricoprivo il ruolo
213000	213960	di project manager
213960	214420	quindi
214420	215320	diciamo
215320	216120	mi occupavo un po'
216180	216840	di tutto
216840	217320	il ciclo
217320	219180	e anche
219180	219540	un po'
219600	220020	della parte
220020	220360	di
220360	221940	budget
221940	222400	e di
222400	223080	allocazioni
223080	224300	di risorse
224300	225220	quindi
225220	225880	lì ho avuto
225880	226220	un po'
226340	226660	un ruolo
226660	227120	un po' più
227120	228240	gestionale
228240	228600	mentre
228600	229960	in precedenza
229960	230520	è tuttora
230520	231880	un ruolo
231880	232080	un po'
232140	232220	più
232220	232780	tecnico
232780	234620	detto
234620	235320	questo
235320	238800	passiamo
238800	239800	alla presentazione
239800	240300	vedete
240300	244360	sì sì
244360	244780	Mario
244780	245340	si vede
245340	248260	perfetto
248260	248520	allora
248520	249160	il concetto
249160	249660	di requirement
249660	250520	management plan
250520	251600	il concetto
251600	252020	di requirement
252020	252820	management plan
252820	253860	in pratica
253860	254440	viene
254440	255280	in qualche
255280	255720	modo
255720	258460	a supporto
258460	259600	di tutto
259600	260060	quel
260060	261540	processo
261540	262000	che
262000	263180	si deve
263180	263720	definire
263720	264500	ad inizio
264500	265100	progetto
265100	266080	quando un progetto
266080	267140	parte
267140	267560	quindi
267560	268760	un cliente
268760	270680	chiede
270680	271760	presso un fornitore
271760	272400	un T1
272400	273200	o un UOM
273200	274160	chiede di
274160	275560	sviluppare un progetto
275560	277160	facendo un esempio
277160	277460	appunto
277460	278300	chiede di sviluppare
278300	279360	un prodotto
279360	280040	questo prodotto
280040	281520	che può essere
281520	283720	qualsiasi tipo di prodotto
283720	284560	può essere un software
284560	285960	può essere un pezzo meccanico
285960	287460	un qualsiasi tipo di prodotto
287460	288660	e quindi è necessario
288660	290060	definire delle strategie
290060	291000	ed un piano
291000	292720	per portare
292720	293380	a termine
293380	294220	il prodotto
294220	294800	in fase quindi
294800	295880	punto di realizzazione
295880	296580	può essere appunto
296580	297540	un software
297540	298220	può essere proprio
298220	299140	un pezzo meccanico
299140	300280	il discorso
300280	300720	di requirement
300720	301400	management plan
301400	302200	non rientra
302200	303420	solo in un discorso
303420	303720	di
303720	305100	delle attività
305100	306240	che stiamo svolgendo noi
306240	307180	quindi di software
307180	307800	quindi di
307800	309300	di realizzare
309300	309700	un software
309700	310480	che poi deve essere
310480	311520	flashato
311520	312300	nelle centraline
312300	312780	ad esempio
312780	314100	ma è un discorso
314100	315560	prettamente generale
315560	316660	quindi quando
316660	317820	si hanno
317820	319700	si ha di fronte
319700	321500	una definizione
321500	324180	quindi una realizzazione
324180	324760	di un progetto
324760	325300	di un processo
325300	325720	è bene
325720	327300	definire un piano
327300	328500	ed una strategia
328500	328980	per
328980	330780	per completare
330780	331960	tutto il flusso
331960	332540	di lavoro
332540	334640	in una maniera
334640	336120	con una qualità
336120	337640	con una qualità
337640	338060	ecco
338060	339020	che sia
339020	341240	che vada incontro
341240	341920	alle aspettative
341920	343860	del cliente
343860	345380	quindi
345380	345880	il requirement
345880	346840	management plan
346840	349420	è una sottoparte
349420	349860	di quello
349860	350600	che viene definito
350600	352040	project management plan
352040	353820	quindi il project
353820	354640	management plan
354640	355300	è una cosa
355300	356400	che è
356400	357800	quindi al di sopra
357800	358980	è un contenitore
358980	360440	mentre il contenuto
360440	361080	di questo project
361080	361740	management plan
361740	362320	sono una serie
362320	363420	di documenti
363420	364340	tra cui anche
364340	364880	il requirement
