start	end	text
0	9000	Hello to everyone, I am Massimiliano Schettino and today we will follow a lesson on EE architecture.
9000	19000	Electrical electronic architecture refers to the convergence of electronics, software and wiring into one integrated system.
19000	25000	Let's see why we are talking about this topic in Automotive Filed.
25000	42000	As we can read here, today an average new automobile includes more than 40 electronic controllers or ECUs, 5 miles of wiring and more than 10 million lines of software code.
42000	53000	This is necessary in order to manage the ever increasing number of functions needed to make our vehicle ever more efficient, comfortable and smart.
53000	59000	Such as ADAS, Automatic Emergency Break, Powertrain, BSM and so on.
59000	64000	And their number is said to grow further.
64000	68000	How are these ECUs connected?
68000	83000	The main communication protocols used in Automotive Filed are CAN and LIN, but currently the Ethernet is increasingly being utilized, especially for ADAS system and connection between cluster and navigator.
83000	87000	And we can also find FlexRay and most ones.
87000	93000	These communication protocols have different transmission speeds.
93000	99000	LIN is the slowest one with a bauderate of 20 Kbps.
99000	108000	Then we have CAN, FlexRay and the top Ethernet with more than 100 Mbps.
108000	117000	But if nowadays so performing protocols are available, why the less performing ones are still used?
117000	120000	The reason is very easy, the cost reduction.
120000	131000	In fact, LIN is still used for easy use with limited functionalities, like solar sensors, EBS or Intelligent Battery System or Siren.
131000	146000	Since these secondary components are not safety-relevant TCUs and don't need a fast IO, it is acceptable to use a low speed connection.
146000	153000	The EE architecture characterizes all the work that is done before the production of the ECUs.
153000	158000	Network and software architecture, diagnosis and hardware standard.
158000	167000	In network architecture, we find ECUs that will be present in the vehicle and how they are connected to each other.
167000	172000	Software one includes code lines and schematics.
172000	182000	Another very interesting part is the diagnostic standard, where we can also find the fault memory section for detecting faults in the vehicle.
182000	191000	Hardware one, in the end, concerns the guidelines to follow for the physical realization of the component.
191000	205000	All the other and successive steps as components and vehicle application tasks are not part of EEAE.
205000	219000	In detail, there are various topics related to EE architecture, like VF, vehicle function, which explains certain functionalities of the vehicle as external light or automatic emergency brake.
219000	224000	Other important parts are diagnostic requirements and network management.
224000	234000	If you are wondering what sleep and wake-up management mean, you have to know that sleep mode is one of the operating states of the vehicle.
234000	240000	This is activated when we turn off it to prevent battery discharge.
240000	253000	In this state, all these use stop communication and deactivate all unnecessary loads, like internal and external lights, but some of them remain awake, waiting for some specific inputs.
253000	262000	This status, in fact, is kept until one of these inputs is received, triggering the wake-up event.
262000	268000	For example, an input could be inserting the key into the car's doors to open it.
268000	276000	Action detected by the BCM that in turn will wake up all the others is used.
276000	291000	The graph in this slide shows us the difference in voltage values and so in power consumption during the different phase of the sleeping process.
291000	303000	When the key off command is sent, the ECUs continue communicating for some seconds, then they all turn off in order to minimize power consumption.
303000	306000	For the wake-up, it is exactly the opposite.
306000	317000	The key drivers for network architecture are integration, busload, cybersecurity, and autosar.
317000	327000	Obviously, each of them has its own importance, but probably the two most fundamental features are busload capacity and cybersecurity.
327000	340000	Busload should always be less than 60-65% of maximum bus capacity in order to avoid missed messages or latency issues.
340000	350000	But over the years, with the increase of number of issues and of their functionalities, it has become increasingly difficult to comply with this limit.
350000	357000	In addition to technology's improvement, we have to consider the introduction of new CAN type.
357000	365000	In speed increasing order, their names are BCAN, BHCAN, CCAN, and finally FDCAN.
365000	370000	As the baud rate increases, so does the busload capacity.
370000	375000	In the end, there is also the possibility of finding multi-CAN network.
375000	387000	Usually, a CAR contains 3-4 separate CANs, but in the same cases, we can find a few shared buses for a lot of issues.
