start	end	text
0	13840	Hi all, today we are going to have a little discussion on process, in particular we will
13840	23200	introduce process in the automotive framework with the particular attention to the general
23200	30720	bicycle model which is the development process mostly used in automotive sector.
32400	43680	Okay, let's see briefly the contents of this lesson. We will make a brief introduction to the
43680	49360	automotive framework, so we will present some numbers and facts about the automotive framework
49360	58720	just to introduce you to this work. Then we will go on with the simple definition of process,
59440	65200	simple and generic definition of process, then we will apply it to the automotive framework, then we
65200	73600	will discuss the v-cycle process, a particular development process which is established in
73600	83120	aerospace industry, and then it's been used in every integration environment such as also the
83120	90320	automotive industry, and then we will conclude with an example of running the cycle process to
92000	94160	to clear the idea on how it is used.
94160	103680	Okay, some interesting facts and figures about the automotive industry. The automotive industry is
103680	119280	very old, it began in 1860 and it has more than 150 years of history. This whole time, automotive industry
119280	128640	industry has been full of technology challenges. You can think about for example the evolution of internal
128640	137760	combustion engine, its optimization for efficiency and technological impact or for example the goals reached
137760	145040	in the fields of safety, so how to make the vehicles more safe and secure.
145040	154400	The introduction of electronics and software inside the vehicles, the autonomous driving concept
154400	160640	and the electric propulsion development which are the topics very hot right now.
162320	174080	So the whole history of the automotive sector has been a technological race to improve, to get better,
174720	181440	or to introduce new technology and new services inside the industry.
184560	195200	Some interesting numbers just to introduce you to the industry. These data are updated to 2017 but
195200	211840	are still actual and usable. In these last years, almost 100 millions of vehicles have been produced yearly. The trend is
211840	224480	descending. This is also because of Covid. This might surprise you, but most units are produced in China, actually.
224480	230960	Where in 2018 were produced more vehicles than USA, Japan, Germany and Italy combined. So 28 millions.
231840	242720	But on the other hand, quality, which can be improperly measured as revenues of an automotive car maker,
242720	253360	are dominated by European, in particular Germans, which score with three groups in the top 10.
253360	258480	in the top 10. The first one is Volkswagen Group, which includes Volkswagen, Audi, Porsche,
259360	268400	Skoda, Lamborghini and Bentley brands. And had revenues for 260 billions, so it's first.
269680	275840	At third place, the Demi Group, which is composed by brands Mercedes-Benz, Smart and Maybach. And in the
275840	280320	seventh place, BMW Group Group with BMW, Mini and Ross-Royce.
283440	292640	Okay, so now let's focus a bit more on this object, the car, the vehicle, but let's try to think about it
296560	305280	by the means of the people that want to produce it, they want to build it, not the one that want
305280	315520	to buy it and use it. So let's be in the shoes of the car maker. What is a car for a car maker?
316480	322960	Well, first of all, it is a purpose built layers of components. What does it mean purpose built?
323920	333040	It means that a vehicle, when it is designed, when it is created, it has to accomplish, it has to satisfy
333040	343760	a mission. For example, you can think about a small city car. Its mission will be low fuel consumption,
344800	356400	space optimization, in order to make it easy to park, for example, in large cities. It has to be small,
356400	368160	it has to be cheap to produce and so on. This is the mission of the vehicle. For example, for a sports
368160	375040	car, car maker, such as Ferrari, the mission can be completely different. The mission for a Ferrari car
376320	385760	will be something like, okay, I want very, very, very high power. So I want 1000 horsepower for my engine,
385760	398960	I want a fun to drive, I want increased performance, I want luxury and the best materials
400320	408400	achievable, no matter the cost and so on. So the mission is the first thing that the car maker think
408400	416800	go up, think about when it's starting to design a new car. And this, it is also a layers of components.
418320	421040	The vehicle, it's, it does not
423840	433120	start in the design phase as a whole object, but it is composed by several layers, such as the mechanical
433120	440240	layers, the hardware and software layers, the electronic layers, or for example, the liquids, the oils, the
442000	449200	glues that are composed and so on. All these layers must to work together in order to
449920	458640	allow the car to accomplish its mission. It is easy to understand that the complexity of
458640	465840	assembling and make a product of these multiple layers is very high. And this brings us to the
466880	474160	the main reason of this lesson, the main cause of this lesson, such a such is an appropriate
474160	478720	organizational effort is required in order to manage this complexity in design.
478720	492000	Okay, let's briefly view also how how a car is built from scratch to the final product. We can divide the
493280	502240	the phase of car building of and car designing in in four sub phases. The first one is of course design and
502240	508080	development. In this phase, we start from scratch, we start from paper, we define the mission of the
508720	516640	of the vehicle of the car. And we start to develop it by for example, using objects.
518000	524880	I think you for sure heard about it, such as prototypes that are that are
528240	534320	particular development vehicles with part of functionalities implemented in order to
534320	538640	test it and develop it. For example, you will have the prototype to test the engine, the prototype to
539600	545200	some part of the electronics and so on. During this design and development phase, you will
546720	552640	you will get better and better prototypes that will start to resemble the final product that you start
552640	558720	to resemble a car that is actually accomplishing the mission. Once you have accomplished this goal,
558720	565600	so you have a car that is actually what you wanted to be in the first place, you start with the second phase,
565600	572160	which is productization. So you obtain the car, but now you want to be sure that you can produce it
572720	582320	in a controllable and serial way so that it can be produced in large number, for example.
582320	589040	After productization, you start with the serial production, so your your factory is ready to
589840	597920	replicate that beautiful prototype in a large number of cars. And there's also a fourth phase,
597920	605600	which is after selling the car, which is called servicing. This is the services you provide to the
605600	615600	final user after the car is sold, is on the street. I think you for sure heard some time about the
617360	625440	recall campaign from some car maker, for example, you discover that there is a small defect in a part of
625440	635200	your vehicle and then you send a message, you communicate to the people that own that vehicle
635200	640880	to bring it back to the workshop in order to fix it. This is a typical case of servicing
643040	644240	phase process.
646640	655760	We will focus in this lesson, in this discussion, in the first phase, the design and development.
655760	662560	So we will describe the process that is meant to be used for design and development. It is also used
662560	669200	for product product productization, but we will not be telling that we will focus on design and development phase.
672080	681200	Okay, another interesting information is who builds a car. Most people are used to think that it's the
681200	686800	car maker who make all the effort and all the work to produce a car, but these are that is actually not
686800	700560	true. And we can get convinced about that by starting with dividing our vehicle in different abstraction
700560	706320	layers. We start from the topper one, the vehicle abstraction layer, so the whole vehicle
