start	end	text
0	2640	because we need to know which is our world
2640	6020	and which product we need to work.
6960	7220	Okay?
8460	10440	In this case, I won't let...
10440	11980	I'm very old now, 100%.
11980	13240	The other guy is here.
14740	15280	Do you hear me?
15660	16220	Yeah, yeah, yeah.
16280	19160	Now there are three, all of them, so we can start.
19920	20600	Okay, perfect.
22320	26560	If you hear me better, I talk without microphone.
26560	30720	For this lesson, I want to give you a technical lesson
30720	34360	about the automotive world, the today's automotive world
34360	37380	in the hybrid vehicles and electrical vehicles.
37940	40160	Only a good concept.
40980	44500	In this lesson, I like so much, and in all of my lessons,
44640	46940	I like so much to have questions, doubts,
47400	49500	and change of opinion with all of you.
49680	51820	And for this, I've become open-ended
51820	54180	because I won't see people in charge.
54180	57600	I know that in this lesson, we let this lesson
57600	59480	for the next academies.
59740	65460	But please, don't hesitate to answer questions and markets.
65920	68860	Slides are the only support in this lesson.
69640	72380	But we talk about automotive world
72380	74320	and we talk about technologies
74320	78340	because slides are at all times available on the internet.
78920	82200	Lesson is needed for understanding well
82200	84060	and our basic concepts.
84740	87620	About this, the first thing that I want to talk about
87620	89380	in this lesson, and we can start.
89920	92880	Pasquale, if you want to react, we'll start now.
95360	96620	Okay, okay, thanks.
97760	98080	Okay.
98300	102280	About this lesson, we'll do a panoramic
102280	104540	of automotive world starting
104540	107040	to talk about hybrid vehicles.
107660	108200	Pay attention.
108540	109960	For me, hybrid vehicles,
110200	112740	I know that exist hybrid vehicles
112740	114620	with two types of fuel,
114620	116040	but in this lesson,
116500	118460	we talk only,
118620	120800	only about hybrid vehicles
120800	124100	when one of the two old motor engines
124100	125760	is an electrical engine,
126060	127900	a motor, an electrical motor.
128240	131000	In this lesson, we talk only about technologies
131000	134540	that are tied with a combination
134540	136740	with a fuel combustion
136740	138660	plus an electric combustion,
139140	140880	or we talk about strategies
140880	142280	that are totally electric.
143140	144660	First thing that I want to request
144660	145500	to all of you,
146120	149300	why we need to develop this type of car?
151080	155020	Why we need to improve our effort
155020	156560	in automotive world,
156560	158300	which is the bigger dimension?
158300	160100	We need to reduce the emission.
160300	160740	The emission.
160940	161640	The solution.
162900	163620	Perfect.
163880	166120	Well, because just think
166120	168460	that we are not the moving totally,
169000	170560	we are not the impact.
