start	end	text
720	5840	okay okay we're ready i will start the presentation
15680	16720	tell me you can see me
19760	23040	yes so i can see okay here we are
23040	34880	okay uh as i said we are talking i think that you really know if we talk about the spice
34880	43280	what we are talking about isn't it uh i'm sorry to interrupt you uh can we record this video
44400	51920	yeah yeah can you record it and also if you do it and then you can send it to me which should be a
51920	58880	good thing because i had to but i'm not actually i can do this with for some problems so if you
58880	65600	record it and send it to me uh it will be a very good thing sorry to interrupt ciao gabriele thanks
65600	72560	for the lesson i just connected for the sole purpose of recording so i am recording the
73840	81040	the lesson and i will okay okay so i won't be active in the lesson just here for record okay
81040	87040	thanks yeah good thing because i have problems with my microphone so i am using uh i think to
87600	94720	to present and i think to uh talk because i wish to do this it would be a very good thing thank you
95520	104640	okay thanks okay so we start uh we are talking about uh a spice and
104640	112560	uh how you can uh read on the on the here the proposal of the spice is to improve and value the
112560	120400	performance of the development process and ecosystem of industry industries uh it is a specific variant of
120400	128880	international standard diesel and actually it allows the best way to have a good process to uh fulfill our
128880	135600	project to do our things and uh i think that you already know uh something about the bicycle
137520	145920	that is a cycle that is used in a spice to uh develop a good software i think that you should
145920	154320	already know the the thesis about uh develop and testing today we'll talk about the requirement part
154320	162240	that is uh in the up and the left part of the cycle uh you can see here that we have uh more parts of
162240	170560	this uh requirement uh um requirement part and uh here we can you can read that we have
170560	176320	the requirement elicitation uh the system requirement analysis and software requirement because if we're
176320	186560	talking about uh the development of software we have a level for uh system requirement uh analysis that
186560	192560	will tell you uh what do we what do our system have to do what can the kind of things have we have to
192560	199600	develop and how the the part of software requirement analysis that will tell us which software with
199600	206480	which implementation will do the things that uh we need to uh fulfill our system requirements
209520	216000	uh we start with some definition and some properties that uh our requirements uh need
216640	224560	need to be a good thing actually just to give you a better introduction uh the rest of our work will be
224560	231680	some documents uh that will be stored in our cases in some server and in these documents it will be all
231680	239440	the description of our work but we have to find a proper way to do this thing a first definition that
239440	245520	we can have is the difference between the functional requirement that is uh what the system shall do
246320	252400	and not the functional requirement that is uh what the system shall be the difference is that in the
252400	260800	second one is a moral description of the system uh while a functional requirement is a description of
261360	267840	our implementation and all the things that we do have to work so a definition for example of an
267840	270560	inputs outputs and the procedure of our software
273520	279680	a good writing requirement should have some characteristics the first one is that should be
279680	286800	clear and ambiguous so there should be only one way to interpret the requirement let's see some
286800	292800	examples if we frame right and the system shall not accept the password longer than 15 characters
292800	300720	actually we don't have a good description because we don't know actually if uh something different
300720	309040	from this is possible if uh a password of 16 cards arrives to us what the system shall do and we actually
309040	316240	don't know so it's important to to write something like if the user is the password longer than 15 characters
316240	322800	then the system shall display an error message and shall ask the user to correct it so we describe the all the
322800	331440	things that system do does and we don't have some misinterpretation of of our functionalities
334240	339840	every requirement that we write should be stable the requirement can be refined by means of inspection
339840	347120	analysis demonstration of tests for example if you write a system must refresh the data very quickly we don't have
347120	355760	uh a way to test this thing because uh uh this is not the description that can be uh it can have an
355760	362400	representation for everyone the same so a good requirement should be the system has refresh the data each
362400	370240	0 5 milliseconds we can actually test these things because for example if the data refresh more than this time
370240	374080	we can tell that the task the test the test is failed
377360	381920	uh the requirements should be feasible the requirements should be double with existing constraints
382800	389360	um for example the replacement control system shall be styled with this no disruption of the production
389360	394720	but the good requirement should be the replacement control c but uh control system shall be started
394720	400000	causing no more than two days of production destruction just because usually on the
400000	405520	software on the software on the hardware we have some uh constraints and we should respect it for
405520	413040	example we cannot demand a system that can avoid the physical constraints or it should be do things
413680	418160	faster than our technology allow us to do our things
421680	425760	there are a lot of other properties that will speed up on these things it should be consistent
425760	432480	uh because we should uh we probably have a full document with a lot of things and a requirement of
432480	438960	functionality should not interfere with other requirements so uh the book should be a consistent uh
438960	448080	consistency about all the things we have it should be atomic because uh for example uh since we have
448080	455680	uh it's it depends on the testable property because uh uh at each requirement we should
455760	462080	uh assign a test and if you wait if you write the things like um in case of our temperature over current
462080	470160	over over state over both the system shall board the change but actually um here we have a true
470160	478000	requirement because we should have three tests assigned to this property because for example uh we respect
478000	484240	the part of our temperature probably our current is not implemented and the over voltage doesn't work
484240	496240	and if we don't have a uh right like in the like above uh we should not plan um test for everything that we have
496240	505200	and should not um find which things works which not with which parts have errors and when we have to change
505200	517360	uh our work and last things it should be traceable um since i i said you before that uh we have more level requirements
517360	525280	system parts or per part and also the test we should have a traceability between all the parts of our documents
525280	532240	so if you have a software required script and implementation we should know uh where this implementation comes from
532240	538000	for which functionality we have to do these things and we will see how these things is done
538640	541840	in some software that i will show you later
545760	549280	we switch to the other slides
551520	555520	this one
562240	591680	i said you before that there are some software that we use to implement the requirements uh in the slide
591680	599680	before the word there are some slides about uh about a software named doors but i will show you
599680	603840	something more about another software this is called polaro because i gave the license here
604400	610160	and the slides show you some things about the software but later in the end of the lesson we have a
612240	619440	quick introduction to this software how to use it and uh other section and all the things are done
620080	626800	so we start with the slides from some bit introduction and then we will see on the software uh some example
630880	638880	actually um uh the requirement documents appears like like this and it's a document with a lot of
638880	645440	objects you can see that we have uh usually uh this is a screen about polarion and here we have a
645440	651440	description description description of our things and uh in the right part in the left part we have a
651440	659920	code and unique code that is associated with a single requirement um actually if we do some change
659920	666560	change and uh we've or we delete this requirement this code will still be assigned to this one because we
666560	674640	have to have just a bit in the time about our documents here in the left we have an icon an icon that
674640	680400	actually uh see us what kind of requirement is this because we have an icon for software we will have
680400	689520	uh an icon icon for system an icon for uh for text and more in the right part we have uh some properties
689520	696640	we can usually cast on these things that because because uh our item our requirement is not just a
696640	703120	description but is anything with a lot of properties that say us a lot of things about how to develop
703120	720240	so for example um these properties can be the severity let's say at last um if the this requirement
720240	725680	is a must have a should evidence to have or something that is deprecated they will not have to implement
725680	735280	it is very useful for developers because it's good to set some priority because in the when we drop we
735280	741280	probably start with must have things and then when everything is finishing test and we can
742480	746240	we can go to should dev and later to the other the others
748960	754720	there is here a status that tells us uh the status of the requirement not the status of the
754720	760960	implementation because when we write probably we start usually we start from a drop status
762240	768400	uh when we write the things when you have the finished to write we uh switch back to uh i
768400	775840	review the average status and then in a probably verified rejected uh and also this uh machine can
775840	782160	change you know how many people work on the things online level of people that can review approve and test
782160	789360	things but the important part is when we are here we can make some modification later we cannot if we
789360	795120	want to modify our require when you have to come back this is start to the status so i will we will
795120	800080	see you later in polaro that we if if we are not in draft the document the the requirement is blocked
803680	811280	um here uh we can see also other properties like dd that we can see also in the document
811280	817520	but also uh the traceability part because here i've written uh which should the requirements are
817520	827520	connected to this one um as parent is referred to uh uh to the leader of the chapter for example and
827520	832720	it's related to his pro here is a relation with another item in another document
832720	845040	so uh with these links we can fulfill accessibility between them with between documents but we will
845040	854080	see an example later uh here we showed for example that here it was a requirement about uh can message
854080	862400	that says that that information used in the system is uh carried by this message and in that link we can
862400	867920	connect with the description of the message with other properties that we can find in the dbc
873920	880160	uh also this is another view that we will uh you will see uh later in the software that
880880	887680	it is a representation with all the levels uh just to have a better interpretation of how many links that
887680	899680	could we have and here uh have some on uh some of charts that we can have because uh as you said
899680	907520	before we are using a proper software to do these things uh actually we could also use some uh an excel
907520	914080	not word because we have a lot of properties but an excel should be good and also we will see that we can
914080	920400	uh every reporting from polarion to excel but the good things to have a software that is done just
920400	929680	for this is because it can give us some uh for some reports that can be used to have a global view of
929680	937040	our project for example here we have a coverage report that tell us that a part of our requirement got
937040	943520	the coverage and that part doesn't so later we can print a report discovering which part which
943520	951360	requirement doesn't have a coverage and uh complete our our documents but also uh some graphic about
951360	958640	the develop to treat to have trees about uh how things are done what things are done what which not
960880	963760	and so we can have a better view of our project
966000	973200	here another report uh i i took up before about coverage report uh here we can see that for
973200	977680	example a system requirement have a software requirement have a software requirement assigned
978560	987360	but the order doesn't so we can know uh that we are still to write some software requirement and
987360	989440	where and about which functionalities
992480	998080	this is another view of the same report but in a table way
998080	1006560	and before we uh continue with this part i will tell you if you have some questions
1007840	1012400	if everything is clear of if you have some questions about these things
1020000	1020320	okay
1020320	1031280	um just a little things um why these things is important because uh uh if we work in uh automotive
1031280	1038000	uh environment but also in other uh environment and it is uh secretica for example for uh um
1039440	1049120	for uh for train for uh for planes we should have um a develop that follow a lot of rules because we cannot
